CD_GEOCMU;NM_MUNICIP;BIOMA
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
3300100;ANGRA DOS REIS;Mata Atlântica
2901502;ANGUERA;Mata Atlântica
4101150;ÂNGULO;Mata Atlântica
5201207;ANHANGUERA;Cerrado
3502309;ANHEMBI;Cerrado
3502309;ANHEMBI;Mata Atlântica
3502408;ANHUMAS;Cerrado
3502408;ANHUMAS;Mata Atlântica
5201306;ANICUNS;Cerrado
2200707;ANÍSIO DE ABREU;Caatinga
4201000;ANITA GARIBALDI;Mata Atlântica
4201109;ANITÁPOLIS;Mata Atlântica
1300102;ANORI;Amazônia
4300703;ANTA GORDA;Mata Atlântica
2901601;ANTAS;Caatinga
4101200;ANTONINA;Mata Atlântica
2300804;ANTONINA DO NORTE;Caatinga
2200806;ANTÔNIO ALMEIDA;Cerrado
2901700;ANTÔNIO CARDOSO;Mata Atlântica
4201208;ANTÔNIO CARLOS;Mata Atlântica
3102902;ANTÔNIO CARLOS;Mata Atlântica
3103009;ANTÔNIO DIAS;Mata Atlântica
2901809;ANTÔNIO GONÇALVES;Caatinga
5000906;ANTÔNIO JOÃO;Cerrado
2400901;ANTÔNIO MARTINS;Caatinga
4101309;ANTÔNIO OLINTO;Mata Atlântica
4300802;ANTÔNIO PRADO;Mata Atlântica
3103108;ANTÔNIO PRADO DE MINAS;Mata Atlântica
3502507;APARECIDA;Mata Atlântica
2500775;APARECIDA;Caatinga
3502606;APARECIDA D'OESTE;Mata Atlântica
5201405;APARECIDA DE GOIÂNIA;Cerrado
5201454;APARECIDA DO RIO DOCE;Cerrado
1701101;APARECIDA DO RIO NEGRO;Cerrado
5001003;APARECIDA DO TABOADO;Cerrado
5001003;APARECIDA DO TABOADO;Mata Atlântica
3300159;APERIBÉ;Mata Atlântica
3200508;APIACÁ;Mata Atlântica
5100805;APIACÁS;Amazônia
3502705;APIAÍ;Mata Atlântica
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
2100832;APICUM-AÇU;Amazônia
4201257;APIÚNA;Mata Atlântica
2401008;APODI;Caatinga
2901908;APORÁ;Caatinga
2901908;APORÁ;Mata Atlântica
5201504;APORÉ;Cerrado
2901957;APUAREMA;Mata Atlântica
4101408;APUCARANA;Mata Atlântica
2300903;APUIARÉS;Caatinga
1300144;APUÍ;Amazônia
2800209;AQUIDABÃ;Caatinga
2800209;AQUIDABÃ;Mata Atlântica
5001102;AQUIDAUANA;Cerrado
5001102;AQUIDAUANA;Pantanal
2301000;AQUIRAZ;Caatinga
4201273;ARABUTÃ;Mata Atlântica
2500809;ARAÇAGI;Caatinga
3103207;ARAÇAÍ;Cerrado
2800308;ARACAJU;Mata Atlântica
3502754;ARAÇARIGUAMA;Mata Atlântica
2902054;ARAÇÁS;Mata Atlântica
2301109;ARACATI;Caatinga
2902005;ARACATU;Caatinga
3502804;ARAÇATUBA;Mata Atlântica
2902104;ARACI;Caatinga
3103306;ARACITABA;Mata Atlântica
2301208;ARACOIABA;Caatinga
2601052;ARAÇOIABA;Mata Atlântica
3502903;ARAÇOIABA DA SERRA;Mata Atlântica
3200607;ARACRUZ;Mata Atlântica
5201603;ARAÇU;Cerrado
3103405;ARAÇUAÍ;Cerrado
3103405;ARAÇUAÍ;Mata Atlântica
5201702;ARAGARÇAS;Cerrado
5201801;ARAGOIÂNIA;Cerrado
1701309;ARAGOMINAS;Amazônia
1701903;ARAGUACEMA;Cerrado
1702000;ARAGUAÇU;Cerrado
5101001;ARAGUAIANA;Cerrado
1702109;ARAGUAÍNA;Amazônia
1702109;ARAGUAÍNA;Cerrado
5101209;ARAGUAINHA;Cerrado
1702158;ARAGUANÃ;Amazônia
2100873;ARAGUANÃ;Amazônia
5202155;ARAGUAPAZ;Cerrado
3103504;ARAGUARI;Cerrado
3103504;ARAGUARI;Mata Atlântica
1702208;ARAGUATINS;Amazônia
1702208;ARAGUATINS;Cerrado
2100907;ARAIOSES;Caatinga
2100907;ARAIOSES;Cerrado
5001243;ARAL MOREIRA;Cerrado
5001243;ARAL MOREIRA;Mata Atlântica
2902203;ARAMARI;Mata Atlântica
4300851;ARAMBARÉ;Pampa
2100956;ARAME;Amazônia
2100956;ARAME;Cerrado
3503000;ARAMINA;Cerrado
3503000;ARAMINA;Mata Atlântica
3503109;ARANDU;Cerrado
3503109;ARANDU;Mata Atlântica
3103603;ARANTINA;Mata Atlântica
3503158;ARAPEÍ;Mata Atlântica
2700300;ARAPIRACA;Caatinga
2700300;ARAPIRACA;Mata Atlântica
